mode,question_id,category,faithfulness,answer_relevancy,model_used
mode_2_rag_only,Q015,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q016,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q017,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q018,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q019,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q020,fundamental_metric,1.0,0.7345,llama-3.1-8b-instant
mode_2_rag_only,Q021,fundamental_metric,1.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q022,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q023,fundamental_metric,1.0,0.9693,llama-3.1-8b-instant
mode_2_rag_only,Q024,fundamental_metric,1.0,0.9829,llama-3.1-8b-instant
mode_2_rag_only,Q025,ranking,0.6,0.9569,llama-3.1-8b-instant
mode_2_rag_only,Q026,ranking,1.0,0.4081,llama-3.1-8b-instant
mode_2_rag_only,Q027,ranking,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q028,ranking,0.8,0.9368,llama-3.1-8b-instant
mode_2_rag_only,Q029,ranking,1.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q030,ranking,0.3333,0.4029,llama-3.1-8b-instant
mode_2_rag_only,Q031,ranking,1.0,0.8952,llama-3.1-8b-instant
mode_2_rag_only,Q032,ranking,0.5,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q033,ranking,0.875,0.9567,llama-3.1-8b-instant
mode_2_rag_only,Q034,ranking,1.0,0.9821,llama-3.1-8b-instant
mode_2_rag_only,Q035,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q036,price_snapshot,1.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q037,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q038,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q039,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q040,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q041,sector_query,0.3077,0.8981,llama-3.1-8b-instant
mode_2_rag_only,Q042,sector_query,0.0,0.9627,llama-3.1-8b-instant
mode_2_rag_only,Q043,sector_query,0.0,0.891,llama-3.1-8b-instant
mode_2_rag_only,Q044,sector_query,0.0,0.0,mistral-small-latest
mode_2_rag_only,Q045,sector_query,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q046,sector_query,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q047,sector_query,1.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q048,sector_query,0.0,0.0,llama-3.1-8b-instant
mode_2_rag_only,Q049,sector_query,0.0,0.8896,llama-3.1-8b-instant
mode_2_rag_only,Q050,sector_query,1.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q001,price_snapshot,1.0,0.3647,llama-3.1-8b-instant
mode_3_rag_jc,Q002,price_snapshot,1.0,0.2899,llama-3.1-8b-instant
mode_3_rag_jc,Q003,price_snapshot,0.0,0.5117,llama-3.1-8b-instant
mode_3_rag_jc,Q004,price_snapshot,0.5,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q005,price_snapshot,1.0,0.3758,llama-3.1-8b-instant
mode_3_rag_jc,Q006,price_snapshot,0.5,0.488,llama-3.1-8b-instant
mode_3_rag_jc,Q007,price_snapshot,0.0,0.967,llama-3.1-8b-instant
mode_3_rag_jc,Q008,price_snapshot,1.0,0.3532,llama-3.1-8b-instant
mode_3_rag_jc,Q009,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q010,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q011,fundamental_metric,0.0,0.7344,llama-3.1-8b-instant
mode_3_rag_jc,Q012,fundamental_metric,0.3333,0.8165,llama-3.1-8b-instant
mode_3_rag_jc,Q013,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q014,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q015,fundamental_metric,1.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q016,fundamental_metric,0.0,0.9731,llama-3.1-8b-instant
mode_3_rag_jc,Q017,fundamental_metric,1.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q018,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q019,fundamental_metric,1.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q020,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q021,fundamental_metric,0.3333,0.9814,llama-3.1-8b-instant
mode_3_rag_jc,Q022,fundamental_metric,0.3333,0.4718,llama-3.1-8b-instant
mode_3_rag_jc,Q023,fundamental_metric,0.6667,0.9278,llama-3.1-8b-instant
mode_3_rag_jc,Q024,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q025,ranking,0.6667,0.9569,llama-3.1-8b-instant
mode_3_rag_jc,Q026,ranking,0.4,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q027,ranking,0.0,0.7754,llama-3.1-8b-instant
mode_3_rag_jc,Q028,ranking,1.0,0.5878,llama-3.1-8b-instant
mode_3_rag_jc,Q029,ranking,0.0,0.2941,llama-3.1-8b-instant
mode_3_rag_jc,Q030,ranking,1.0,0.6493,mistral-small-latest
mode_3_rag_jc,Q031,ranking,0.8889,0.4941,llama-3.1-8b-instant
mode_3_rag_jc,Q032,ranking,0.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q033,ranking,1.0,0.5428,llama-3.1-8b-instant
mode_3_rag_jc,Q034,ranking,1.0,0.71,llama-3.1-8b-instant
mode_3_rag_jc,Q035,price_snapshot,1.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q036,price_snapshot,0.5,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q037,price_snapshot,1.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q038,price_snapshot,0.3333,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q039,price_snapshot,1.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q040,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q041,sector_query,0.5,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q042,sector_query,0.0,0.9636,llama-3.1-8b-instant
mode_3_rag_jc,Q043,sector_query,0.3333,0.9864,llama-3.1-8b-instant
mode_3_rag_jc,Q044,sector_query,,0.7097,llama-3.1-8b-instant
mode_3_rag_jc,Q045,sector_query,,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q046,sector_query,0.6667,0.498,llama-3.1-8b-instant
mode_3_rag_jc,Q047,sector_query,0.0,0.0,llama-3.1-8b-instant
mode_3_rag_jc,Q048,sector_query,0.3333,0.9097,llama-3.1-8b-instant
mode_3_rag_jc,Q049,sector_query,0.0,0.4365,llama-3.1-8b-instant
mode_3_rag_jc,Q050,sector_query,0.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q001,price_snapshot,1.0,0.3647,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q002,price_snapshot,1.0,0.2899,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q003,price_snapshot,0.0,0.5117,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q004,price_snapshot,1.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q005,price_snapshot,1.0,0.3758,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q006,price_snapshot,0.5,0.488,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q007,price_snapshot,0.0,0.967,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q008,price_snapshot,1.0,0.3532,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q009,price_snapshot,0.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q010,price_snapshot,0.0,0.4913,mistral-small-latest
mode_4_rag_jc_cache,Q011,fundamental_metric,0.0,0.7344,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q012,fundamental_metric,0.3333,0.8165,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q013,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q014,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q015,fundamental_metric,1.0,0.0,mistral-small-latest
mode_4_rag_jc_cache,Q016,fundamental_metric,0.0,0.9731,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q017,fundamental_metric,1.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q018,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q019,fundamental_metric,0.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q020,fundamental_metric,0.5,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q021,fundamental_metric,,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q022,fundamental_metric,0.0,0.525,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q023,fundamental_metric,,0.9153,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q024,fundamental_metric,0.0,0.0,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q025,ranking,1.0,0.9647,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q026,ranking,0.0,0.0,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q027,ranking,0.0,0.7702,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q028,ranking,,0.6568,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q029,ranking,0.0,0.2941,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q030,ranking,0.6667,0.8594,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q031,ranking,0.8889,0.4941,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q032,ranking,0.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q033,ranking,1.0,0.5428,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q034,ranking,1.0,0.71,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q035,price_snapshot,1.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q036,price_snapshot,0.5,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q037,price_snapshot,,0.0,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q038,price_snapshot,1.0,0.0,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q039,price_snapshot,,0.0,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q040,price_snapshot,1.0,0.0,llama-3.3-70b-versatile
mode_4_rag_jc_cache,Q041,sector_query,0.5,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q042,sector_query,0.0,0.9636,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q043,sector_query,0.5,0.9864,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q044,sector_query,0.0,0.7097,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q045,sector_query,0.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q046,sector_query,0.6667,0.498,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q047,sector_query,0.0,0.0,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q048,sector_query,0.3333,0.9097,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q049,sector_query,0.0,0.4657,llama-3.1-8b-instant
mode_4_rag_jc_cache,Q050,sector_query,0.5,0.0,llama-3.1-8b-instant
