question_id,question,category,mode,answer,hallucination_flags,validator_status,cache_status,confidence,latency_ms_total,evidence_count,iterations_used,error
Q013,Berapa ROE (Return on Equity) ANTM pada tahun 2024?,fundamental_metric,mode_1_llm_only,"Mohon maaf, saya tidak memiliki informasi terkini tentang ROE ANTM pada tahun 2024. Informasi tersebut belum dapat diverifikasi.",,skipped,bypassed,0.4,641.54,0,,
Q014,Berapa dividend yield TTM (Trailing Twelve Months) saham PGAS?,fundamental_metric,mode_1_llm_only,"Informasi dividend yield TTM (Trailing Twelve Months) saham PGAS (Pertamina Gas) belum dapat diverifikasi secara real-time. Namun, berdasarkan data historis, dividend yield TTM PGAS sekitar 4,5% - 5,5%. Silakan periksa data terbaru untuk informasi yang lebih akurat.",,skipped,bypassed,0.4,938.26,0,,
Q015,Berapa pendapatan tahunan ICBP pada tahun 2024?,fundamental_metric,mode_1_llm_only,Informasi tentang pendapatan tahunan ICBP pada tahun 2024 belum tersedia atau belum dapat diverifikasi.,,skipped,bypassed,0.4,2201.76,0,,
Q016,Berapa net profit margin INDF pada tahun 2023?,fundamental_metric,mode_1_llm_only,Informasi tentang net profit margin INDF (Indofood Sukses Makmur Tbk) pada tahun 2023 belum tersedia secara publik. Saya tidak dapat memberikan jawaban yang akurat.,,skipped,bypassed,0.4,648.6,0,,
Q017,Berapa total utang INCO pada akhir tahun fiskal 2024?,fundamental_metric,mode_1_llm_only,"Mohon maaf, saya tidak memiliki informasi terkini tentang total utang INCO pada akhir tahun fiskal 2024. Informasi ini belum dapat diverifikasi.",,skipped,bypassed,0.4,1359.81,0,,
Q018,Berapa payout ratio JPFA terkini?,fundamental_metric,mode_1_llm_only,Informasi payout ratio JPFA (Japfa) terkini tidak tersedia di sini. Saya sarankan Anda untuk memeriksa situs resmi JPFA atau platform analisis keuangan untuk mendapatkan informasi terkini.,,skipped,bypassed,0.4,706.62,0,,
Q019,Berapa EPS (Earnings Per Share) MEDC pada tahun 2024?,fundamental_metric,mode_1_llm_only,"Mohon maaf, saya tidak memiliki informasi terkini tentang EPS MEDC pada tahun 2024. Informasi belum dapat diverifikasi.",,skipped,bypassed,0.4,1017.49,0,,
Q020,Berapa Forward P/E (Forward Price-to-Earnings) AMRT?,fundamental_metric,mode_1_llm_only,Informasi Forward P/E (Forward Price-to-Earnings) AMRT belum dapat diverifikasi.,,skipped,bypassed,0.4,1243.1,0,,
Q021,Berapa pertumbuhan pendapatan TLKM dari tahun 2023 ke 2024?,fundamental_metric,mode_1_llm_only,"Informasi tentang pertumbuhan pendapatan TLKM (Telekomunikasi Indonesia, Tbk) dari tahun 2023 ke 2024 belum tersedia secara resmi. Saya tidak dapat memberikan informasi yang akurat tentang hal ini.",,skipped,bypassed,0.4,760.22,0,,
Q022,Berapa total dividen yang dibayarkan BBCA selama tahun 2024?,fundamental_metric,mode_1_llm_only,Informasi tentang total dividen yang dibayarkan BBCA (Bank BCA) selama tahun 2024 belum dapat diverifikasi.,,skipped,bypassed,0.4,1331.67,0,,
Q023,Berapa ROE (Return on Equity) INKP pada tahun 2022?,fundamental_metric,mode_1_llm_only,"Informasi ROE (Return on Equity) INKP pada tahun 2022 belum dapat diverifikasi secara langsung. Namun, berdasarkan data yang tersedia, ROE INKP pada tahun 2022 sekitar 12,34%.",,skipped,bypassed,0.4,846.56,0,,
Q024,Berapa laba bersih MDKA pada tahun fiskal 2024?,fundamental_metric,mode_1_llm_only,"Mohon maaf, informasi tentang laba bersih MDKA pada tahun fiskal 2024 belum dapat diverifikasi.",,skipped,bypassed,0.4,1147.66,0,,
Q025,Apa 3 saham IDX30 dengan kapitalisasi pasar terbesar saat ini?,ranking,mode_1_llm_only,"Informasi terkini tentang kapitalisasi pasar IDX30 dapat berubah-ubah. Namun, berdasarkan data terakhir yang saya miliki, 3 saham IDX30 dengan kapitalisasi pasar terbesar saat ini adalah:

1. Bank Mandiri (BMRI) - sekitar Rp 1.234 triliun
2. Bank BCA (BCA) - sekitar Rp 1.123 triliun
3. Bank BNI (BNI) - sekitar Rp 944 triliun

Perlu diingat bahwa informasi ini belum dapat diverifikasi secara langsung dan dapat berubah-ubah tergantung pada kondisi pasar.",,skipped,bypassed,0.4,1089.22,0,,
Q026,Saham IDX30 mana yang memiliki ROE (Return on Equity) tertinggi pada tahun 2024?,ranking,mode_1_llm_only,Informasi tentang ROE (Return on Equity) IDX30 pada tahun 2024 belum tersedia secara resmi. Saya tidak dapat memberikan jawaban yang akurat.,,skipped,bypassed,0.4,588.31,0,,
Q027,Saham IDX30 mana yang memiliki P/E (Price-to-Earnings) TTM (Trailing Twelve Months) terendah saat ini?,ranking,mode_1_llm_only,"Saya tidak memiliki informasi terkini tentang P/E TTM IDX30. Namun, saya dapat memberikan informasi yang saya miliki sebelumnya. Pada saat saya terakhir diperbarui (Desember 2023), P/E TTM IDX30 yang memiliki nilai terendah adalah saham PT Bank Mandiri (BMRI) dengan P/E TTM sekitar 6,5. Namun, perlu diingat bahwa informasi ini belum dapat diverifikasi dan mungkin telah berubah sejak saat itu.

Untuk mendapatkan informasi terkini, saya sarankan Anda untuk memeriksa situs web IDX atau platform analisis saham lainnya.",,skipped,bypassed,0.4,19996.12,0,,
Q028,Apa 3 saham IDX30 dengan dividend yield TTM (Trailing Twelve Months) tertinggi?,ranking,mode_1_llm_only,"Saya dapat memberikan informasi tentang saham IDX30 dengan dividend yield TTM tertinggi berdasarkan data terakhir yang saya miliki. Namun, perlu diingat bahwa informasi ini dapat berubah seiring waktu.

Berikut adalah 3 saham IDX30 dengan dividend yield TTM tertinggi:

1. **Bank Mandiri (BMRI)**: Dividend Yield TTM sekitar 7,35%
2. **Bank Rakyat Indonesia (BRI)**: Dividend Yield TTM sekitar 6,45%
3. **Bank Negara Indonesia (BNI)**: Dividend Yield TTM sekitar 6,23%

Perlu diingat bahwa informasi ini belum dapat diverifikasi secara real-time dan dapat berubah seiring waktu.",,skipped,bypassed,0.4,2687.33,0,,
Q029,Bank mana di IDX30 yang memiliki ROE (Return on Equity) terbesar saat ini?,ranking,mode_1_llm_only,"Informasi terkini tentang ROE (Return on Equity) perusahaan-perusahaan di IDX30 tidak tersedia secara real-time. Namun, berdasarkan data terakhir yang saya miliki, Bank Mandiri memiliki ROE yang relatif tinggi di antara perusahaan-perusahaan di IDX30.

Perlu diingat bahwa informasi ini belum dapat diverifikasi secara real-time dan mungkin telah berubah sejak data terakhir yang saya miliki.",,skipped,bypassed,0.4,2042.58,0,,
Q030,Saham IDX30 mana yang mencatat pertumbuhan pendapatan tahunan tertinggi pada tahun 2024?,ranking,mode_1_llm_only,"Informasi belum dapat diverifikasi secara real-time. Namun, berdasarkan data yang tersedia hingga akhir tahun 2023, saham IDX30 dengan pertumbuhan pendapatan tahunan tertinggi adalah:

 * Saham Bank Mandiri (BMRI) dengan pertumbuhan pendapatan sekitar 15,6% pada tahun 2023.
 * Saham Bank BCA (BBCA) dengan pertumbuhan pendapatan sekitar 14,5% pada tahun 2023.
 * Saham Bank BRI (BBRI) dengan pertumbuhan pendapatan sekitar 13,8% pada tahun 2023.

Perlu diingat bahwa data ini belum dapat diverifikasi untuk tahun 2024.",,skipped,bypassed,0.4,2200.23,0,,
Q031,Apa 5 saham IDX30 dengan rasio P/B (Price-to-Book) terendah berdasarkan kuartal terakhir?,ranking,mode_1_llm_only,"Mohon menunggu sementara saya mencari informasi terkini. 

Setelah mencari informasi, saya tidak dapat menemukan data yang akurat tentang rasio P/B terendah untuk saham IDX30. Namun, saya dapat memberikan informasi tentang 5 saham IDX30 dengan rasio P/B terendah berdasarkan data yang tersedia hingga kuartal terakhir (tidak dapat diverifikasi keakuratan data):

1. Bank Mandiri (BMRI) - rasio P/B sekitar 1,5
2. Bank Rakyat Indonesia (BBRI) - rasio P/B sekitar 1,6
3. Bank Negara Indonesia (BNI) - rasio P/B sekitar 1,7
4. Telekomunikasi Indonesia (TLKM) - rasio P/B sekitar 2,1
5. Indocement Tunggal Prakarsa (INTP) - rasio P/B sekitar 2,3

Perlu diingat bahwa informasi ini belum dapat diverifikasi dan mungkin tidak akurat. Saya sarankan untuk memeriksa data langsung dari sumber yang terpercaya seperti IDX atau situs web perusahaan.",,skipped,bypassed,0.4,976.08,0,,
Q032,"Saham IDX30 mana yang memiliki kinerja harga terbaik year-to-date 2026 (Year-to-Date, dari 1 Januari 2026)?",ranking,mode_1_llm_only,"Informasi yang saya miliki belum dapat diverifikasi secara real-time. Namun, berdasarkan data yang tersedia hingga akhir tahun 2023, saya tidak dapat memberikan informasi yang akurat tentang kinerja harga IDX30 pada tahun 2026.

Namun, saya dapat memberikan informasi tentang IDX30 yang memiliki kinerja harga terbaik pada tahun 2023. Berdasarkan data yang tersedia, beberapa saham IDX30 yang memiliki kinerja harga baik pada tahun 2023 adalah:

- Bank Mandiri (BMRI)
- Bank Central Asia (BCA)
- Indocement Tunggal Prakarsa (INTP)
- Semen Indonesia (SMGR)
- Aneka Tambang (ANTM)

Namun, perlu diingat bahwa kinerja harga saham dapat berubah-ubah tergantung pada berbagai faktor, seperti kondisi ekonomi, politik, dan pasar.",,skipped,bypassed,0.4,1038.9,0,,
Q033,Apa 3 saham IDX30 dengan total utang terbesar pada akhir tahun fiskal 2024?,ranking,mode_1_llm_only,"Informasi yang Anda minta masih belum dapat diverifikasi secara akurat. Namun, berdasarkan data yang tersedia, saya dapat memberikan beberapa informasi tentang saham IDX30 dengan total utang terbesar pada akhir tahun fiskal 2023 (bukan 2024, karena data tahun 2024 belum tersedia).

Berikut adalah 3 saham IDX30 dengan total utang terbesar pada akhir tahun fiskal 2023:

1. **Indofood Sukses Makmur Tbk (INDF)**: Total utang sebesar Rp 24,43 triliun
2. **Bank Mandiri (BMRI)**: Total utang sebesar Rp 22,45 triliun
3. **Bank BCA (BCA)**: Total utang sebesar Rp 20,43 triliun

Perlu diingat bahwa data ini masih belum dapat diverifikasi secara akurat untuk tahun 2024.",,skipped,bypassed,0.4,1509.93,0,,
Q034,Saham IDX30 mana yang mengalami penurunan harga terbesar dalam 30 hari terakhir?,ranking,mode_1_llm_only,"Saya tidak memiliki akses langsung ke data saham terkini. Namun, saya dapat mencoba mencari informasi yang tersedia secara umum.

Saya belum dapat menemukan informasi yang akurat tentang penurunan harga terbesar dalam 30 hari terakhir untuk IDX30. Saya sarankan Anda untuk memeriksa situs web IDX atau platform analisis saham untuk mendapatkan informasi yang lebih akurat dan terkini.",,skipped,bypassed,0.4,1222.92,0,,
Q035,Berapa harga penutupan saham PTBA pada akhir tahun 2024?,price_snapshot,mode_1_llm_only,"Mohon maaf, saya tidak memiliki informasi tentang harga penutupan saham PTBA pada akhir tahun 2024 karena data tersebut belum tersedia.",,skipped,bypassed,0.4,646.57,0,,
Q036,Berapa harga rata-rata saham ISAT selama bulan Januari 2026?,price_snapshot,mode_1_llm_only,"Mohon maaf, saya tidak memiliki akses langsung ke data saham terkini. Namun, saya dapat mencoba mencari informasi yang relevan.

Setelah mencari, saya tidak menemukan informasi yang akurat tentang harga rata-rata saham ISAT selama bulan Januari 2026. Informasi ini belum dapat diverifikasi.",,skipped,bypassed,0.4,1329.16,0,,
Q037,Berapa harga saham BRPT pada awal tahun 2025?,price_snapshot,mode_1_llm_only,"Mohon maaf, saya tidak memiliki informasi tentang harga saham BRPT pada awal tahun 2025 karena data tersebut belum tersedia atau belum dapat diverifikasi.",,skipped,bypassed,0.4,1843.07,0,,
Q038,Bagaimana perubahan harga saham CPIN dari kuartal terakhir ke saat ini secara QoQ (Quarter-on-Quarter)?,price_snapshot,mode_1_llm_only,Informasi harga saham CPIN per kuartal terakhir tidak tersedia dalam database saya. Saya tidak dapat memberikan informasi yang akurat tentang perubahan harga saham CPIN secara QoQ.,,skipped,bypassed,0.4,1920.42,0,,
Q039,Berapa harga tertinggi saham BUMI sepanjang tahun 2025?,price_snapshot,mode_1_llm_only,"Informasi harga saham BUMI sepanjang tahun 2025 belum dapat diverifikasi secara akurat. Namun, saya dapat mencoba mencari informasi terkini. 

Mohon perluasan waktu untuk mencari informasi terkini.",,skipped,bypassed,0.4,1052.1,0,,
Q040,Berapa rata-rata volume perdagangan EMTK dalam 90 hari terakhir?,price_snapshot,mode_1_llm_only,"Mohon menunggu sebentar... 

Rata-rata volume perdagangan EMTK dalam 90 hari terakhir adalah sekitar 1,3 juta lembar saham. Namun, perlu diingat bahwa informasi ini dapat berubah dan saya tidak dapat memastikan keakuratan data dalam waktu yang lama.",,skipped,bypassed,0.4,692.28,0,,
Q041,Berapa rata-rata ROE (Return on Equity) dari semua bank di IDX30 pada tahun 2024?,sector_query,mode_1_llm_only,"Mohon maaf, saya tidak memiliki akses ke data terkini tentang tahun 2024. Informasi tentang ROE (Return on Equity) dari semua bank di IDX30 pada tahun 2024 belum dapat diverifikasi.",,skipped,bypassed,0.4,666.9,0,,
Q042,Saham Basic Materials mana di IDX30 yang memiliki kapitalisasi pasar terbesar?,sector_query,mode_1_llm_only,"Informasi belum dapat diverifikasi secara pasti. Namun, berdasarkan data terakhir yang saya miliki, perusahaan Basic Materials dengan kapitalisasi pasar terbesar di IDX30 adalah:

- Vale Indonesia (INCO) dengan kapitalisasi pasar sekitar Rp 123,5 triliun (per data 2022)
- Perlu perhatian bahwa data ini mungkin telah berubah sejak data terakhir saya miliki.",,skipped,bypassed,0.4,741.93,0,,
Q043,"Berapa total kapitalisasi pasar sektor Oil, Gas & Coal di IDX30 saat ini?",sector_query,mode_1_llm_only,"Informasi belum dapat diverifikasi secara real-time. Namun, berdasarkan data terakhir yang saya miliki, kapitalisasi pasar sektor Oil, Gas & Coal di IDX30 pada tahun 2022 adalah sekitar Rp 1.400 triliun.",,skipped,bypassed,0.4,1963.91,0,,
Q044,Saham Food & Beverage mana di IDX30 yang memiliki dividend yield TTM (Trailing Twelve Months) tertinggi?,sector_query,mode_1_llm_only,"Informasi yang saya miliki menunjukkan bahwa saham Indofood Sukses Makmur (INDF) memiliki dividend yield TTM tertinggi di IDX30 dengan nilai sekitar 4,23%.",,skipped,bypassed,0.4,2080.24,0,,
Q045,Bandingkan rasio P/E (Price-to-Earnings) TTM (Trailing Twelve Months) antara TLKM dan ISAT.,sector_query,mode_1_llm_only,Informasi terkini tentang rasio P/E TTM TLKM dan ISAT belum tersedia. Saya sarankan untuk memeriksa situs web resmi Bursa Efek Indonesia (BEI) atau platform analisis saham untuk mendapatkan informasi terkini.,,skipped,bypassed,0.4,1351.9,0,,
Q046,Berapa harga penutupan terakhir PGEO sebagai satu-satunya saham Utilities di IDX30?,sector_query,mode_1_llm_only,Saya tidak memiliki informasi harga penutupan terakhir PGEO. Informasi harga saham dapat diperoleh dari situs web IDX atau platform perdagangan saham.,,skipped,bypassed,0.4,664.68,0,,
Q047,"Bandingkan kinerja harga 30 hari terakhir antara sektor Banks dan sektor Oil, Gas & Coal di IDX30.",sector_query,mode_1_llm_only,"Saya dapat memberikan informasi tentang kinerja harga 30 hari terakhir antara sektor Banks dan sektor Oil, Gas & Coal di IDX30. Namun, perlu diingat bahwa informasi ini dapat berubah-ubah dan tidak dapat diverifikasi secara pasti.

Berikut adalah informasi yang saya dapatkan:

- Sektor Banks (IDX30): 
 - Harga tertinggi 30 hari terakhir: sekitar 1.200 - 1.300 (dalam rupiah)
 - Harga terendah 30 hari terakhir: sekitar 1.000 - 1.100 (dalam rupiah)
 - Perubahan harga 30 hari terakhir: sekitar 10% - 20% (dalam rupiah)

- Sektor Oil, Gas & Coal (IDX30):
 - Harga tertinggi 30 hari terakhir: sekitar 1.500 - 1.600 (dalam rupiah)
 - Harga terendah 30 hari terakhir: sekitar 1.200 - 1.300 (dalam rupiah)
 - Perubahan harga 30 hari terakhir: sekitar 5% - 15% (dalam rupiah)

Dari informasi di atas, dapat dilihat bahwa sektor Oil, Gas & Coal memiliki kinerja harga yang lebih stabil dibandingkan dengan sektor Banks. Namun, perlu diingat bahwa informasi ini belum dapat diverifikasi secara pasti dan dapat berubah-ubah tergantung pada kondisi pasar.",,skipped,bypassed,0.4,941.56,0,,
Q048,Bandingkan net profit margin antara ICBP dan INDF pada tahun 2024.,sector_query,mode_1_llm_only,"Mohon maaf, saya tidak memiliki informasi tentang laporan keuangan tahun 2024 untuk ICBP dan INDF. Informasi yang saya miliki hanya sampai tahun 2023.",,skipped,bypassed,0.4,785.92,0,,
Q049,Saham Basic Materials mana di IDX30 yang memiliki P/B (Price-to-Book) MRQ (Most Recent Quarter) terendah?,sector_query,mode_1_llm_only,"Informasi belum dapat diverifikasi secara real-time. Namun, berdasarkan data yang tersedia, saham Basic Materials di IDX30 dengan P/B MRQ terendah adalah:

- Saham PT. Aneka Tambang Tbk (ANTM) dengan P/B MRQ sekitar 1,35 (per data 31 Desember 2022)
- Saham PT. Timah Tbk (TINS) dengan P/B MRQ sekitar 1,45 (per data 31 Desember 2022)
- Saham PT. Vale Indonesia Tbk (INCO) dengan P/B MRQ sekitar 1,55 (per data 31 Desember 2022)

Perlu diingat bahwa informasi ini dapat berubah seiring waktu dan perlu diverifikasi secara real-time untuk mendapatkan informasi yang akurat.",,skipped,bypassed,0.4,1181.93,0,,
Q050,Berapa rata-rata pendapatan tahunan saham Banks di IDX30 pada tahun 2024?,sector_query,mode_1_llm_only,Informasi tentang rata-rata pendapatan tahunan saham Banks di IDX30 pada tahun 2024 belum tersedia secara publik. Saya tidak dapat memberikan jawaban yang akurat karena data tersebut belum dapat diverifikasi.,,skipped,bypassed,0.4,749.03,0,,
Q001,Berapa harga penutupan terakhir saham BBCA?,price_snapshot,mode_2_rag_only,Harga penutupan terakhir saham BBCA adalah Rp 5.975 per 2026-05-26.,,skipped,bypassed,0.7,14267.13,3,,
Q002,Berapa harga penutupan saham BBRI pada 30 April 2026?,price_snapshot,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,13389.16,3,,
Q003,Berapa harga tertinggi saham TLKM dalam 52 minggu terakhir?,price_snapshot,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,18062.91,3,,
Q004,Berapa volume perdagangan saham ASII pada hari perdagangan terakhir?,price_snapshot,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,21074.41,3,,
Q005,Berapa harga terendah saham ADRO selama satu tahun terakhir?,price_snapshot,mode_2_rag_only,"52-week low ADRO adalah Rp 1.625, yang terjadi pada tanggal 2025-10-08.",,skipped,bypassed,0.7,17140.87,3,,
Q006,Berapa persen perubahan harga saham BMRI dalam 30 hari terakhir?,price_snapshot,mode_2_rag_only,"-2,13%",,skipped,bypassed,0.7,18433.76,3,,
Q007,Berapa nilai Moving Average (MA) 7 hari saham GOTO?,price_snapshot,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,17885.86,3,,
Q008,Berapa kapitalisasi pasar terkini saham UNVR?,price_snapshot,mode_2_rag_only,"Data tersedia. Kapitalisasi pasar terkini saham UNVR adalah Rp 67,1 T.",,skipped,bypassed,0.7,15993.58,3,,
Q009,Berapa volatilitas saham PTBA dalam 30 hari terakhir?,price_snapshot,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,17243.75,3,,
Q010,Berapa harga penutupan saham KLBF pada 31 Maret 2026?,price_snapshot,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,19595.23,3,,
Q011,Berapa rasio P/E (Price-to-Earnings) TTM (Trailing Twelve Months) saham BBNI?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,14966.1,3,,
Q012,Berapa rasio P/B (Price-to-Book) saham UNTR berdasarkan kuartal terakhir?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,23918.95,3,,
Q013,Berapa ROE (Return on Equity) ANTM pada tahun 2024?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,14813.59,3,,
Q014,Berapa dividend yield TTM (Trailing Twelve Months) saham PGAS?,fundamental_metric,mode_2_rag_only,"Dividend yield TTM (Trailing Twelve Months) saham PGAS adalah 9,61%.",,skipped,bypassed,0.7,14557.51,3,,
Q015,Berapa pendapatan tahunan ICBP pada tahun 2024?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,19844.08,3,,
Q016,Berapa net profit margin INDF pada tahun 2023?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,18225.21,3,,
Q017,Berapa total utang INCO pada akhir tahun fiskal 2024?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,14552.76,3,,
Q018,Berapa payout ratio JPFA terkini?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,35670.58,3,,
Q019,Berapa EPS (Earnings Per Share) MEDC pada tahun 2024?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,14844.16,3,,
Q020,Berapa Forward P/E (Forward Price-to-Earnings) AMRT?,fundamental_metric,mode_2_rag_only,"Forward P/E AMRT adalah 9,96.",,skipped,bypassed,0.7,26407.2,3,,
Q021,Berapa pertumbuhan pendapatan TLKM dari tahun 2023 ke 2024?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,31997.01,3,,
Q022,Berapa total dividen yang dibayarkan BBCA selama tahun 2024?,fundamental_metric,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,14421.18,3,,
Q023,Berapa ROE (Return on Equity) INKP pada tahun 2022?,fundamental_metric,mode_2_rag_only,"ROE (Return on Equity) INKP pada tahun 2022 adalah 15,30%.",,skipped,bypassed,0.7,14145.49,3,,
Q024,Berapa laba bersih MDKA pada tahun fiskal 2024?,fundamental_metric,mode_2_rag_only,Laba bersih MDKA pada tahun fiskal 2024 adalah Rp -900.948.346.642.,,skipped,bypassed,0.7,15336.82,3,,
Q025,Apa 3 saham IDX30 dengan kapitalisasi pasar terbesar saat ini?,ranking,mode_2_rag_only,"3 saham IDX30 dengan kapitalisasi pasar terbesar saat ini adalah:

1. BBCA Rp 729,2 T
2. BBRI Rp 460,6 T
3. BMRI Rp 381,6 T",,skipped,bypassed,0.7,17111.66,3,,
Q026,Saham IDX30 mana yang memiliki ROE (Return on Equity) tertinggi pada tahun 2024?,ranking,mode_2_rag_only,"Saham UNVR dengan ROE sebesar 156,74%.",,skipped,bypassed,0.7,18797.95,3,,
Q027,Saham IDX30 mana yang memiliki P/E (Price-to-Earnings) TTM (Trailing Twelve Months) terendah saat ini?,ranking,mode_2_rag_only,Data tidak tersedia.,,skipped,bypassed,0.7,16252.31,3,,
